len,uniqs
29,29
56,51
9,9
7,7
15,9
16,12
116,54
11,9
218,101
13,13
17,17
6,6
21,21
6,6
8,8
4,2
17,13
24,24
19,17
48,39
18,18
73,42
26,26
12,12
9,8
15,13
8,8
2,2
13,13
33,30
5,5
5,5
7,7
19,19
9,9
68,50
26,26
10,10
24,18
16,16
62,36
21,18
28,24
9,9
39,25
65,49
16,16
5,5
9,9
25,23
11,11
10,10
6,6
7,7
29,28
196,101
19,14
5,5
13,13
9,9
7,7
5,5
29,29
12,12
10,10
26,26
8,8
5,5
14,14
47,47
14,14
90,53
16,16
88,51
6,6
13,11
48,36
9,9
32,32
68,58
6,6
19,19
7,7
88,58
4,3
12,12
24,22
309,123
5,5
10,10
56,41
34,34
8,8
21,19
21,19
10,10
2,2
98,81
16,13
14,14
17,17
3,3
23,15
11,11
15,15
40,31
19,19
77,55
12,9
17,17
3,3
9,8
18,15
82,47
2,2
11,11
45,28
12,12
6,6
103,47
1,1
9,7
3,3
57,42
10,10
17,12
5,5
2,2
44,38
12,12
26,26
15,14
11,11
16,16
3,3
10,10
6,6
162,64
15,15
4,4
29,29
182,90
7,7
31,28
4,4
14,14
19,17
18,15
1,1
28,24
4,4
23,23
35,29
13,13
16,16
17,14
23,23
13,13
18,18
4,4
36,30
12,12
10,10
55,38
27,27
79,61
7,7
11,11
2,2
7,7
7,7
7,7
17,16
4,4
101,65
13,13
22,22
12,12
12,12
44,32
7,4
8,8
41,34
132,71
22,22
7,7
16,16
37,32
184,101
60,32
49,42
21,21
49,39
12,12
14,9
10,10
4,4
113,81
7,7
12,12
2,2
15,15
22,19
255,166
31,27
9,9
2,2
9,9
2,2
17,14
64,40
22,22
15,15
12,12
11,11
4,4
2,2
6,6
48,40
16,16
8,8
29,21
8,8
5,5
12,12
6,4
2,2
6,6
11,11
14,11
7,7
13,13
13,10
7,7
4,4
10,10
297,112
24,22
8,8
9,9
3,3
23,19
19,19
2,2
13,13
8,8
17,13
4,4
48,31
11,11
48,48
5,5
63,35
35,28
17,10
9,9
12,12
7,7
27,27
12,12
9,9
23,12
59,51
85,66
20,19
4,4
28,28
16,16
4,4
16,14
20,20
4,4
39,23
122,77
114,70
37,37
22,19
28,27
8,8
2,2
124,65
12,12
2,2
7,7
15,14
5,5
6,6
73,63
339,163
62,44
8,8
27,27
2,2
54,41
18,18
40,27
2,2
42,31
220,127
19,19
26,24
25,25
9,9
15,15
9,9
16,16
7,7
32,26
32,31
3,3
12,12
9,9
10,10
17,14
81,57
7,7
66,55
35,25
24,19
9,9
11,11
24,23
33,21
6,6
7,7
8,8
94,44
22,22
3,3
12,12
4,4
191,122
5,5
31,31
12,12
22,20
42,38
158,101
208,82
4,4
6,6
44,27
16,16
45,28
4,4
11,11
22,17
30,29
7,7
20,19
60,56
23,21
1,1
8,8
52,32
8,8
5,5
31,22
26,26
10,10
20,18
23,23
12,10
8,8
23,23
31,26
2,2
11,11
7,7
24,18
20,20
20,19
2,2
7,7
5,5
4,4
27,27
66,54
6,5
9,9
55,33
7,7
11,11
8,7
53,53
6,6
46,39
2,2
6,6
3,3
20,20
52,44
14,14
14,14
13,13
16,11
10,10
5,5
22,22
3,3
6,6
8,8
13,13
3,3
19,17
195,122
20,16
9,9
1,1
4,4
7,7
10,10
196,65
1,1
12,12
72,58
63,45
18,18
13,13
7,7
20,18
22,17
11,11
13,11
3,3
4,4
24,17
145,81
14,14
14,14
6,6
26,21
16,16
4,4
3,3
5,5
11,11
23,18
82,62
24,15
7,7
12,12
29,26
7,7
18,18
9,9
69,53
46,32
3,3
20,16
18,16
36,33
21,21
20,15
18,18
74,70
5,5
5,5
14,14
116,88
13,11
7,7
4,4
1,1
67,45
29,29
20,20
9,9
24,21
17,8
18,18
6,6
11,11
1,1
18,15
33,33
8,8
48,33
9,9
8,8
4,4
5,5
20,20
86,65
24,15
21,21
7,7
31,28
14,12
14,14
62,57
8,8
16,16
26,26
34,31
6,6
4,4
108,67
14,14
57,45
8,8
13,10
4,4
12,12
284,176
32,25
8,8
5,5
46,24
2,2
9,9
14,14
173,121
32,31
35,31
12,12
128,94
6,6
5,5
25,25
3,3
6,6
19,19
18,18
8,8
8,8
8,8
12,12
31,30
8,8
60,44
12,12
4,4
1,1
22,20
4,4
11,10
70,63
35,35
1,1
14,14
12,12
32,22
95,82
5,5
12,12
13,9
27,26
20,19
18,18
3,3
13,13
10,10
4,4
41,29
27,26
9,9
63,45
8,8
48,44
16,15
8,8
5,5
12,12
230,104
33,28
15,15
9,9
50,42
7,7
8,8
368,123
19,19
29,26
7,7
8,8
22,18
2,2
46,42
22,18
13,13
44,32
28,28
6,6
5,5
13,13
47,34
15,15
9,9
99,71
7,7
108,65
3,3
4,4
3,3
21,21
12,12
91,79
1,1
8,8
6,6
24,24
37,30
9,9
21,21
39,32
15,15
173,93
4,4
5,5
10,10
154,104
12,12
4,4
55,48
18,18
36,32
18,13
302,166
9,9
6,6
1,1
40,37
32,29
3,3
11,11
21,21
57,48
12,12
11,11
21,19
14,11
7,7
55,51
3,3
34,27
10,10
17,17
4,4
15,15
103,72
28,19
130,66
14,14
8,8
17,17
170,105
11,10
16,16
59,34
345,170
69,46
3,3
25,25
22,22
87,73
15,15
26,22
15,15
5,5
16,16
6,6
3,3
7,7
35,32
16,14
102,58
4,4
76,65
19,19
164,82
20,20
116,60
11,10
185,85
33,28
18,18
29,29
4,4
54,36
145,89
31,27
7,7
38,25
12,11
1,1
60,42
12,12
9,9
4,4
14,13
10,10
5,5
2,2
32,32
44,31
19,19
27,18
13,13
21,15
11,11
19,19
50,41
7,7
9,9
49,40
9,9
13,13
9,9
7,7
17,11
5,5
2,2
23,17
5,5
6,6
2,2
8,8
233,109
132,82
192,107
3,3
29,25
131,82
50,21
33,29
17,17
4,3
159,103
15,14
1,1
189,114
179,109
5,5
10,10
3,3
48,29
7,7
8,7
88,46
5,5
12,12
52,41
372,182
60,52
60,48
3,3
287,172
10,10
9,9
25,21
18,17
7,7
8,8
7,7
66,51
9,5
160,105
28,28
4,4
4,4
32,32
16,11
11,11
65,53
56,46
15,15
13,13
49,37
9,9
15,15
29,24
26,26
17,17
21,17
50,42
13,13
102,78
4,4
5,5
5,5
14,14
16,16
8,8
62,48
14,12
150,107
8,8
7,7
13,13
6,6
