len,uniqs
1249,234
5315,314
8141,378
4401,252
3019,339
595,197
6380,528
14414,850
2659,394
246,144
1139,193
16260,584
3014,346
5977,324
5327,642
3270,466
980,236
1501,159
10159,502
710,132
237,128
30510,1599
1459,271
5943,385
493,186
1844,250
2350,334
16,9
100,64
523,213
3476,216
94895,1619
618,252
7523,444
1449,136
20553,466
3036,230
1069,126
4728,635
749,164
129,100
22971,761
31,24
42579,1487
1207,209
2633,376
7651,565
436,86
6869,463
799,130
22398,482
239,79
37733,1158
1236,224
1274,238
14026,794
459,181
16,11
539,209
8043,697
1355,219
614,146
16,7
15422,949
338,143
5045,495
60,35
2658,355
1319,200
69,34
3057,327
5797,592
3818,512
738,172
5125,487
12497,1001
1452,276
234,130
18461,881
155,81
2668,314
13445,924
32764,1106
628,117
28,11
1141,242
216,118
1081,215
6969,490
2274,210
1145,249
7881,478
322,109
228,130
486,156
9976,407
709,190
950,263
3070,278
18067,715
5574,450
228,98
4987,288
4829,383
791,217
5447,597
4169,413
161,97
2408,204
1583,142
1215,386
28,18
17891,1236
1480,334
2427,281
47,39
2040,249
302,108
12034,789
12293,563
226,135
1220,255
8379,549
857,149
13396,543
468,168
127,74
828,238
220,153
21518,1105
5910,465
6095,557
16675,700
58,34
116,101
1805,331
3520,403
559,207
393,111
1716,200
829,148
67,46
266,134
1793,228
743,222
3010,402
1085,279
1061,257
5793,505
528,198
8118,802
265,161
8450,346
962,238
15653,1040
1377,362
431,108
1751,198
7996,579
2365,240
3565,537
22,12
34368,992
10067,779
1624,258
403,131
3030,311
1481,280
717,152
12434,411
1520,385
31997,851
2010,136
4770,420
4140,386
30378,1296
12360,500
17462,660
783,216
5400,423
81,58
570,182
43,32
5924,544
61045,1756
16090,684
469,144
4787,251
10057,536
10,9
591,180
11564,557
48,31
22474,849
1242,293
2994,185
2792,326
879,214
9255,463
16330,976
8313,837
268,144
3827,400
18663,855
1320,289
21008,1038
2045,368
587,148
1307,274
2291,294
122,107
3623,320
10974,591
11330,777
2990,601
784,211
37,30
1027,207
1657,328
1261,345
47407,1444
14319,890
16289,836
222,119
816,181
14225,679
2532,304
1134,247
442,177
11309,689
2127,303
1616,373
6766,478
2918,282
256,85
3498,399
3963,321
526,151
11525,793
1177,303
14393,760
24274,1144
4908,421
669,173
371,110
53170,2156
2092,225
4475,418
5504,432
11440,654
2546,456
31972,679
3041,365
189,126
12854,493
10163,677
848,238
732,197
13745,525
580,159
19257,757
633,224
615,96
99,76
25202,716
4508,457
1322,309
512,155
904,269
268,132
14099,785
4380,500
964,235
11645,702
2670,239
8399,614
1781,141
1865,300
75,46
20011,784
3677,389
15608,736
13123,377
3033,300
2831,444
11642,353
2100,338
5027,471
5356,344
119,105
5060,420
585,232
228,91
2522,539
495,89
1157,296
4306,524
723,202
115,48
1745,393
1893,226
1223,299
2670,341
24289,1043
22776,1010
14366,764
507,219
2143,127
862,141
130,66
15237,384
3691,319
996,280
9591,742
244,152
11052,543
2802,293
14809,716
3243,419
1306,257
4528,402
2269,230
13,12
11015,695
2420,431
1605,293
800,188
2547,416
2368,421
193,49
255,138
1212,240
56,40
7121,686
1016,271
476,109
2972,240
5127,452
2684,476
291,141
740,161
2413,363
4509,551
24843,1062
433,170
3380,410
8555,551
4253,370
1459,347
2361,256
20976,695
2728,421
1823,245
144,77
8735,579
8510,463
7965,348
3633,196
2272,329
207,90
9588,563
457,153
2840,365
5055,554
57,48
12,9
582,181
3768,409
13,11
633,160
1417,210
6290,374
1244,224
8221,550
1596,311
126225,1463
168,71
1452,195
1437,276
21259,1123
547,206
785,212
403,160
815,209
322,87
29,29
2499,503
366,83
21453,1318
9611,519
170,108
206,81
4904,404
5335,533
2062,420
637,144
1902,523
197,131
989,180
2592,306
11205,815
6942,353
947,238
65619,1698
468,201
47,40
209,129
863,169
905,114
4187,359
4500,168
5958,544
84,49
3287,475
246,99
4072,238
6526,509
71235,1450
8506,395
117,50
8630,645
200,111
2733,364
492,206
785,148
19,17
591,151
19,11
4462,441
846,216
94891,1149
4978,451
1818,324
4806,221
97,60
4603,303
85,46
3202,282
229,166
5566,369
37786,1165
611,220
2516,391
4554,357
14508,581
985,233
6673,323
338,141
15007,1015
4171,398
644,221
936,200
568,138
1950,175
1115,151
12761,912
10857,872
6439,314
9896,775
381,203
15070,801
1368,197
898,246
3514,352
16874,916
37385,1259
8604,300
592,148
713,208
10893,801
1732,234
4968,655
41509,1433
1224,248
798,201
52920,1299
54,49
334,69
2674,460
3649,525
26043,995
863,249
4710,358
1824,453
50188,1262
2027,412
190,68
348,123
4122,324
1865,265
520,193
3883,507
668,203
968,209
35423,1463
30590,801
1400,337
6491,433
273,123
941,254
345,139
46205,1387
205,146
9527,647
364,124
3155,209
1224,286
300,203
11103,422
3513,594
118,69
11571,754
1051,156
3136,311
334,129
390,150
10574,796
1611,286
11539,768
692,179
89,79
345,180
1731,231
1611,296
872,178
22671,1137
905,192
11662,689
6932,418
682,189
13996,777
4396,356
8909,589
472,182
10622,574
1533,373
154,62
28883,944
8183,714
25759,1157
54885,1494
518,159
2303,450
16282,997
9244,586
11194,639
3791,203
778,225
21360,1020
21258,560
80,58
773,106
592,116
15977,502
7729,532
5278,494
1411,282
11564,537
633,188
8333,573
5601,347
298,126
123,90
969,227
19732,779
5977,678
644,213
1823,250
2785,407
832,293
710,167
6054,565
260,90
7474,779
3476,531
13548,633
2147,485
8191,548
4996,394
414,158
15760,687
871,307
17061,696
3325,236
3603,310
1646,241
2880,384
100,43
2297,221
121,106
4036,307
2592,415
1887,359
3146,216
11732,652
2716,251
307,148
214,86
1153,302
6331,590
219,99
944,269
611,163
224,138
977,251
930,174
5026,446
1600,168
837,220
2935,270
7627,438
118,48
7557,428
181,91
5491,562
287,100
1110,234
662,206
5238,430
2966,306
579,183
843,195
238,124
11473,797
8375,529
3462,508
7992,657
1142,269
23992,1105
92,87
155,70
15131,455
1751,144
56,42
685,98
2953,286
61661,1408
3103,346
358,169
1276,171
4540,410
420,143
2670,204
582,187
1267,263
16919,444
16593,830
15,14
585,100
16371,595
22253,834
1328,239
5507,534
3637,351
6151,765
451,98
9580,528
608,192
4783,419
12765,831
2901,408
2348,278
562,190
166,105
4093,407
13756,705
1182,255
594,169
132,79
1106,244
9189,526
402,111
7311,594
1749,251
3219,406
2646,344
1522,351
1198,262
931,164
355,108
257,123
1120,276
834,274
4059,267
35,14
949,135
3469,353
1560,343
1625,251
784,251
7814,398
6979,597
297,140
603,169
5226,299
6511,348
18257,650
1734,310
3303,219
4767,452
1098,179
540,122
333,146
1548,241
1719,232
265,173
4178,489
290,99
10486,560
2625,395
3717,452
7400,627
58,37
9967,587
3508,363
3033,340
2960,412
26707,1030
3777,193
328,131
175,126
3711,524
2607,254
2425,277
3599,265
239,138
184,133
389,95
17061,656
1604,351
406,91
1865,280
43,25
2582,367
252,140
40,35
6222,403
957,333
7187,538
8179,452
1567,317
942,156
3256,513
181,110
401,131
803,215
2363,314
123,52
1482,220
12369,732
8594,514
5265,486
6414,380
1229,286
7633,364
25158,1330
1080,250
1431,267
383,206
708,222
3900,224
8257,523
389,175
238,78
917,218
71,37
5894,394
4665,427
3944,367
13298,799
1235,284
290,136
38,14
3454,326
1576,183
1131,263
15560,1141
546,130
4136,362
37722,1179
2235,406
2740,438
1626,371
964,274
3469,253
769,256
119,92
1852,249
9474,407
926,121
5740,272
38022,1032
376,92
3020,374
1124,262
2248,241
2347,399
10,8
464,134
44,32
22014,1043
5000,298
26565,980
952,125
139,109
14913,901
569,176
22426,834
1149,315
1933,303
3795,425
3104,413
1641,227
869,176
15144,783
3019,501
3131,345
17714,1028
6689,792
2101,266
79,51
890,208
10282,484
745,178
310,119
107,74
15392,699
9339,777
2714,393
11567,866
64,11
3843,405
6827,501
4441,466
4536,236
2226,239
16682,628
336,104
5762,469
3589,375
3944,359
1927,322
30375,933
2227,332
754,202
937,152
608,228
6272,500
2658,413
1949,297
3862,478
8505,579
1524,362
1232,188
4259,423
2465,332
501,87
14180,539
1477,292
3374,357
502,85
4718,240
604,175
153,94
5574,462
2568,452
474,128
2602,158
1682,185
3273,358
938,203
196,128
10432,724
631,164
178,115
4328,299
555,94
111,75
3040,485
37149,1230
532,216
297,115
7464,330
6996,504
1185,163
14294,743
1042,268
798,176
349,153
1359,264
6052,647
337,94
2566,350
4637,314
2880,417
1939,318
3068,357
39373,1257
5229,394
3333,287
280,96
34,11
226,119
4748,352
171,104
1167,262
1432,227
1135,250
336,151
21378,1376
25747,1504
29123,1020
2688,233
1994,321
3499,367
19269,1044
17,11
8197,539
190,89
1611,136
463,190
19221,1010
72,55
691,121
5888,213
1239,207
2083,396
4593,273
7379,587
5023,583
8220,596
2142,268
420,141
111,75
15499,813
6739,382
33659,1321
20,13
3454,481
630,231
8596,797
3125,362
4751,341
4009,555
4165,503
1473,346
476,225
36952,1145
11879,729
9958,400
8939,610
12193,558
1142,249
1348,317
3379,376
16,14
45747,1405
39,37
160,115
6736,693
7995,624
6171,400
1455,264
1400,299
981,282
10097,809
5451,574
100,71
11923,780
734,134
3417,469
3616,410
7540,371
4467,603
4354,345
5662,401
4932,633
13078,960
3749,361
16300,949
16792,1072
115,81
1092,149
5222,428
25612,907
1173,358
1577,229
12,8
1812,289
3370,430
933,269
680,145
911,188
3930,502
15114,876
1946,256
749,88
35,30
5884,338
7760,731
84784,2112
5673,457
12962,639
2418,330
943,237
383,145
1576,279
4729,608
879,182
6341,414
10549,272
768,175
3305,369
219,54
40390,980
2558,233
4252,384
1319,249
338,90
1195,206
663,192
283,171
10853,504
13786,584
5002,287
24318,1097
2341,298
10331,710
511,221
104,78
1582,320
6415,490
3884,520
6862,410
785,171
14649,526
2640,149
1302,194
1683,365
21940,937
172,89
2562,170
4164,420
11325,885
5129,439
915,271
511,150
29179,1158
713,192
858,191
20899,1022
452,174
2383,367
450,175
78282,1757
7142,515
13659,856
6099,413
424,116
66,36
12622,671
1492,375
6766,723
2599,401
7772,635
88,62
88,50
6614,429
573,208
1556,293
2025,195
9589,509
2631,327
10047,507
1229,155
5229,179
3664,371
9172,634
11197,381
4257,457
1709,256
7401,577
706,143
1337,140
951,206
247,131
2132,396
5764,579
2079,402
4206,415
5923,554
318,167
709,232
457,188
1411,197
13536,450
4228,304
8022,777
2536,410
501,172
8938,631
3861,344
4600,502
613,172
7137,531
13131,758
7513,341
5358,552
5509,443
13811,435
23763,875
3562,318
970,195
13236,815
3112,156
2136,242
81,56
4763,352
2544,180
1102,182
38,34
8701,418
202,53
7141,498
1549,389
797,114
8104,321
14276,871
12687,880
1702,306
5059,551
4304,384
11333,502
10351,829
15,10
4038,419
1188,249
2471,388
3174,458
4227,404
18317,696
7686,898
514,186
683,157
409,165
602,136
510,272
539,193
12271,616
17257,906
14814,634
1450,233
505,136
6924,387
6701,457
23793,694
5002,323
10463,815
890,253
19217,732
435,138
529,254
3140,343
32,19
15707,800
17008,932
2019,91
33572,1341
12701,746
927,267
2156,327
1254,343
21800,1010
21923,931
4045,376
1835,224
1030,174
16770,957
347,134
20701,1020
6129,304
4418,321
10450,468
3426,259
6668,571
1956,363
1102,243
28153,1007
1813,416
11613,463
13682,680
6913,569
934,223
2656,309
4307,440
5044,408
129,105
43010,1014
2564,222
53,46
6898,530
232,97
1459,298
6170,297
5146,490
213,97
6845,261
1725,344
12239,927
17,12
652,212
173,101
849,187
3028,458
2644,433
19926,893
16807,980
15483,970
900,146
45,34
186,133
796,183
806,234
6747,805
2900,437
245,142
1937,414
3010,343
2827,453
58,48
10891,627
1116,169
1869,172
30,21
363,160
14009,882
3866,520
10366,618
3029,256
13499,707
1296,309
614,146
1687,297
7061,563
71,39
2038,259
2253,455
1624,288
7673,706
66,42
12554,711
8097,737
1784,283
2086,288
2322,252
5285,642
128,109
4886,423
5660,512
1294,353
60,37
2836,321
25734,846
3589,529
1355,320
35,34
892,180
636,234
2931,249
3389,524
243,91
526,158
12892,487
299,144
5596,513
856,241
16974,975
8433,626
11622,776
2054,326
46,38
8762,479
176,73
27720,1108
8563,413
10211,899
640,161
9891,347
1314,314
4924,539
1283,145
431,196
2450,308
344,157
498,143
8016,535
1130,204
5239,250
1988,253
40196,1179
12383,700
7752,581
1782,257
577,185
31812,1006
7952,485
87061,1848
1194,204
3263,334
406,78
10167,786
291,134
181,113
325,180
154,69
4362,491
5125,288
37023,1570
1549,255
903,131
2390,404
8364,656
13405,896
1769,342
412,116
2274,280
518,127
28060,1003
33660,1101
1042,274
4423,469
24887,1192
3734,324
3124,186
2454,160
197,111
3718,443
4190,573
207,129
9094,676
5008,380
149,112
9327,736
430,95
6017,359
595,179
