len,uniqs
5,5
2,2
26,20
13,13
24,24
10,10
17,17
14,14
15,11
22,17
50,46
16,15
7,7
5,5
35,25
234,45
4,4
19,19
16,13
28,23
56,40
22,22
10,9
13,13
10,10
15,15
5,5
35,21
5,5
15,15
121,66
5,5
17,17
52,39
25,24
6,6
15,15
15,10
14,13
71,39
26,21
6,6
100,64
18,12
8,8
52,31
6,6
1,1
18,15
1,1
38,30
27,23
13,13
6,6
4,4
95,70
7,7
63,52
26,21
12,8
84,50
130,72
4,4
7,7
17,16
2,2
12,12
1,1
2,2
77,60
7,7
43,33
38,38
40,39
46,37
10,8
177,100
8,8
3,3
23,23
52,41
84,58
21,21
325,163
11,11
27,27
4,4
7,7
1,1
23,23
5,5
6,6
4,4
444,209
5,5
25,25
6,6
25,25
23,23
231,119
8,5
15,15
11,11
35,31
8,8
11,11
17,17
1,1
1,1
6,6
16,16
62,57
30,30
28,23
3,3
6,6
115,97
2,2
105,67
3,3
17,16
8,8
7,4
27,19
102,57
27,27
8,8
16,16
5,5
23,23
21,20
5,5
27,22
22,22
46,38
3,3
5,4
14,11
12,12
6,6
166,117
9,9
14,14
3,3
22,17
4,4
53,39
29,29
7,6
94,48
8,8
15,14
20,20
13,13
7,4
131,73
9,9
5,5
10,10
5,5
23,23
6,6
7,5
2,2
16,13
6,6
3,3
9,9
241,126
8,8
44,31
3,3
15,15
17,17
2,2
7,7
1,1
7,7
87,67
8,8
9,9
3,3
19,19
9,9
15,15
27,27
32,21
12,12
7,7
8,8
61,52
7,7
2,2
17,15
7,7
82,68
20,20
73,55
89,61
11,11
18,18
312,163
12,12
15,15
19,19
16,16
24,21
16,16
109,83
7,7
206,118
16,16
17,15
15,15
12,12
17,17
12,12
15,15
12,12
490,213
124,95
1,1
8,8
14,14
10,10
25,22
28,28
11,11
41,37
45,31
6,5
14,14
221,113
46,33
39,29
34,24
24,19
10,10
102,71
38,24
14,14
2,2
61,39
3,3
182,113
7,7
10,7
16,16
15,13
52,49
36,26
17,17
24,24
14,12
55,50
15,15
17,15
104,71
47,45
9,9
8,8
5,5
30,25
35,29
36,32
42,42
74,54
6,6
20,19
22,22
18,14
7,7
29,19
33,26
9,7
12,12
12,12
16,14
1,1
49,37
18,17
55,44
3,3
110,52
26,26
13,12
13,13
2,2
17,16
3,3
10,10
23,20
65,45
2,2
39,30
13,10
10,10
10,10
4,4
48,36
32,20
116,92
2,2
7,7
34,28
363,105
11,11
9,9
58,45
10,10
8,8
13,13
2,2
57,42
3,3
40,39
15,15
20,20
43,31
20,20
10,9
19,17
47,33
50,41
48,39
19,19
22,22
7,7
14,14
43,30
17,13
5,5
5,5
22,16
4,4
37,33
41,22
2,2
16,16
45,38
30,30
24,24
38,28
95,67
116,77
3,3
118,68
123,55
13,13
9,9
5,5
22,22
29,25
12,12
37,35
14,14
4,4
15,15
26,24
31,29
14,14
9,9
10,10
74,46
112,69
5,5
1,1
60,52
63,52
115,84
18,18
44,34
4,4
17,16
110,84
37,36
219,152
3,3
14,14
9,9
4,4
18,18
37,34
12,11
46,22
36,28
6,6
37,37
4,4
62,47
6,6
14,14
630,240
5,5
61,55
3,3
44,38
43,43
9,9
95,62
9,9
6,6
24,19
52,32
52,51
1,1
16,16
13,13
56,53
201,82
4,4
126,66
189,63
5,5
22,14
25,18
32,31
6,6
33,32
23,23
37,31
11,9
41,32
5,5
14,14
8,8
150,55
11,11
53,40
15,15
15,15
49,43
147,88
6,5
7,7
2,2
6,5
42,41
7,7
4,4
59,52
132,96
30,30
43,38
14,14
13,13
55,36
50,49
3,3
17,14
1,1
19,19
42,33
10,10
4,4
11,11
13,13
10,10
20,18
11,11
18,17
5,5
40,31
48,36
8,8
32,32
7,7
151,103
12,12
18,18
5,5
6,6
5,5
5,5
19,19
18,12
25,25
36,36
5,5
2,2
5,5
5,5
6,6
16,16
4,4
25,25
3,3
6,6
28,24
10,10
3,3
28,27
17,14
5,5
78,50
10,10
8,8
15,15
30,29
1,1
16,15
3,3
7,7
17,17
52,40
23,22
4,4
7,6
36,36
14,14
19,18
20,20
17,16
8,7
42,33
22,22
172,81
34,34
24,20
6,6
30,22
5,5
16,16
11,11
5,5
19,19
16,16
4,4
9,9
7,7
21,21
33,25
75,68
65,49
17,17
14,14
4,4
42,32
21,21
14,14
42,37
20,20
10,10
85,67
13,13
16,16
11,11
1,1
5,5
2,2
16,16
19,19
7,7
70,56
8,7
31,29
17,13
290,168
79,68
1,1
15,11
14,14
5,5
13,13
18,18
32,32
32,21
36,27
84,71
9,9
2,2
30,19
30,29
35,34
23,23
140,76
24,23
47,36
130,66
15,15
49,37
19,19
16,16
6,6
38,32
34,30
8,8
40,33
12,12
11,11
3,3
7,7
215,105
80,63
18,16
3,3
7,7
11,10
13,13
56,38
30,22
5,5
46,46
4,4
2,2
31,25
4,4
127,90
2,2
16,16
25,25
9,8
4,4
3,3
21,19
15,15
11,11
89,54
3,3
12,12
14,14
2,2
15,15
31,27
4,4
17,15
187,75
74,66
5,5
23,23
15,15
39,38
10,10
823,257
58,30
9,9
11,11
33,29
28,27
20,20
67,64
15,13
158,106
4,4
5,5
26,22
11,11
10,10
5,5
141,78
44,31
4,4
32,32
8,8
17,14
5,5
37,29
16,16
31,29
34,30
7,7
9,9
11,11
9,9
12,12
18,18
21,18
39,33
26,26
4,4
137,80
13,13
100,74
7,7
6,6
191,124
12,12
2,2
9,9
38,32
40,31
294,175
134,88
6,6
100,70
12,12
6,6
14,14
4,4
30,27
20,20
12,12
16,16
11,11
12,12
35,29
61,41
75,52
307,168
6,6
2,2
3,3
35,33
8,8
21,21
13,10
19,19
9,9
8,7
235,128
21,20
20,20
29,24
40,35
6,6
35,35
11,11
19,19
36,30
11,11
13,13
13,13
7,7
29,29
12,12
17,14
25,20
11,11
21,21
5,5
5,5
45,37
5,5
11,11
2,2
10,10
22,20
33,33
54,54
4,4
37,33
17,17
25,21
5,5
3,3
14,14
5,5
40,33
17,17
11,11
11,11
20,20
17,17
56,38
13,13
13,13
188,110
2,2
19,12
5,5
51,41
3,3
5,5
251,91
62,57
20,20
6,6
5,5
15,15
8,8
22,22
52,36
33,18
11,11
20,17
4,4
6,6
15,13
